Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,399.0,17.0,30.0,399.0,0.0,62.58971676559887,62.58971676559887,0.0,81.09756636619568,,,,,,,,,,,,,,,,,,,,,24.839326353993116,19.076843407111074,52.98979093128083,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,424.0,18.0,25.0,424.0,0.0,50.06066064149907,50.06066064149907,0.0,86.81957960128784,,,,,,,,,,,,,,,,,,,,,17.225865933978103,16.210129190763183,44.939020244023084,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,448.0,19.0,24.0,448.0,0.0,18.71141403013417,18.71141403013417,0.0,91.99031090736389,,,,,,,,,,,,,,,,,,,,,6.159934209100544,6.238801571651371,17.00001310506116,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,469.0,20.0,21.0,469.0,0.0,42.61117500877919,42.61117500877919,0.0,97.05820512771606,,,,,,,,,,,,,,,,,,,,,16.096668050998378,13.75128083380957,38.69280277535078,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,0.0,0.0,488.0,21.0,19.0,488.0,0.0,26.592595994378865,26.592595994378865,0.0,101.4658772945404,,,,,,,,,,,,,,,,,,,,,7.571966180638412,9.156853811203762,25.18445271240889,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,0.0,0.0,505.0,22.0,17.0,505.0,0.0,19.29774468310522,19.29774468310522,0.0,105.77566742897034,,,,,,,,,,,,,,,,,,,,,6.3388870239156745,6.447285473374284,18.223946499014886,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,0.0,0.0,530.0,23.0,25.0,530.0,0.0,32.618282477663485,32.618282477663485,0.0,111.36197233200073,,,,,,,,,,,,,,,,,,,,,11.567660587707165,10.227758480420485,29.14830040173497,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,0.0,0.0,547.0,24.0,17.0,547.0,0.0,21.50949954779294,21.50949954779294,0.0,115.69473648071289,,,,,,,,,,,,,,,,,,,,,9.135178149622165,6.497229821525944,19.768640387167192,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,0.0,0.0,565.0,25.0,18.0,565.0,0.0,39.049989481505655,39.049989481505655,0.0,119.91489481925964,,,,,,,,,,,,,,,,,,,,,14.931763517192277,12.28377729606195,36.093084935828024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,0.0,0.0,583.0,26.0,18.0,583.0,0.0,30.493005743061637,30.493005743061637,0.0,124.07176971435547,,,,,,,,,,,,,,,,,,,,,11.546010707801095,9.789984500434231,28.215705482702823,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
