Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,581.0,18.0,29.0,581.0,0.1,93.6090789116839,0.0,0.0,59.69266223907471,,,,,,,,,,,,,,,,,,,,,42.79668993790764,25.89334681976274,82.84668791928442,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,601.0,19.0,20.0,601.0,0.1,59.005999999999986,0.0,0.0,61.943822383880615,,,,,,,,,,,,,,,,,,,,,28.827649334050516,16.688134897288133,54.32146733311895,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,670.0,20.0,69.0,670.0,0.1,235.77840177230192,0.0,0.0,68.78755450248718,,,,,,,,,,,,,,,,,,,,,94.13453487279538,52.55489106679634,174.29402378336195,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,0.0,0.0,722.0,21.0,52.0,722.0,0.1,173.07938042829485,0.0,0.0,74.2733883857727,,,,,,,,,,,,,,,,,,,,,71.92049803282084,42.094072138721515,138.43558968597893,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,0.0,0.0,747.0,22.0,25.0,747.0,0.1,72.75899986700252,0.0,0.0,77.12275958061218,,,,,,,,,,,,,,,,,,,,,33.65448781568248,20.21851187957776,65.65184972256084,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,0.0,0.0,780.0,23.0,33.0,780.0,0.1,107.79473189849053,0.0,0.0,80.75884199142456,,,,,,,,,,,,,,,,,,,,,48.55386147010628,28.779803699803814,93.63530008504792,2.636719993456805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,0.0,0.0,810.0,24.0,30.0,810.0,0.1,102.89742207402294,0.0,0.0,83.99285578727722,,,,,,,,,,,,,,,,,,,,,49.1125370082629,26.005754529577953,89.95374040561582,3.795411593018152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,0.0,0.0,822.0,25.0,12.0,822.0,0.1,39.916827724017985,0.0,0.0,85.5250027179718,,,,,,,,,,,,,,,,,,,,,22.42628450204703,11.475508116720539,37.981505544099925,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,0.0,0.0,841.0,26.0,19.0,841.0,0.1,57.60747236360465,0.0,0.0,88.00043201446533,,,,,,,,,,,,,,,,,,,,,28.596907979476825,16.50491669224273,53.23340459902464,2.774011047503616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,0.0,0.0,865.0,27.0,24.0,865.0,0.1,73.44612113673524,0.0,0.0,90.63721299171448,,,,,,,,,,,,,,,,,,,,,35.51135616355702,20.34060593686586,66.2416035684946,2.7505045725502995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
